COISAS	B-OUTRO
Alemanha	B-LOCAL
?	O
Qual	O
era	O
a	O
moeda	O
da	O
Alemanha	B-LOCAL
antes	O
do	O
euro	O
?	O
Num	O
relógio	O
,	O
qual	O
o	O
ponteiro	O
que	O
aponta	O
para	O
as	O
horas	O
?	O
O	O
que	O
é	O
o	O
amianto	O
?	O
Qual	O
a	O
primeira	O
causa	O
de	O
morte	O
das	O
pessoas	O
expostas	O
ao	O
amianto	O
?	O
O	O
que	O
é	O
um	O
administrador	O
de	O
rede	O
?	O
Quem	O
é	O
Allan	B-PESSOA
Frederick	I-PESSOA
Jacobsen	I-PESSOA
?	O
Por	O
que	O
clube	O
joga	O
?	O
Quanto	O
é	O
que	O
ele	O
pesa	O
?	O
Em	O
que	O
árvore	O
crescem	O
os	O
morangos	O
?	O
Quem	O
é	O
Amira	B-PESSOA
Casar	I-PESSOA
?	O
Onde	O
é	O
que	O
ela	O
nasceu	O
?	O
Em	O
que	O
filme	O
é	O
que	O
ela	O
entrou	O
com	O
Richard	B-PESSOA
Anconina	I-PESSOA
?	O
Como	O
se	O
chama	O
o	O
presidente	B-PESSOA
das	I-PESSOA
Filipinas	I-PESSOA
?	O
Que	O
barragem	O
seria	O
a	O
maior	O
do	O
mundo	O
se	O
tivesse	O
sido	O
construída	O
?	O
Qual	O
era	O
o	O
custo	O
estimado	O
do	O
projecto	O
?	O
Quantos	O
meses	O
tem	O
numa	B-TEMPO
semana	I-TEMPO
?	O
Que	O
agência	O
está	O
encarregada	O
de	O
centralizar	O
as	O
ofertas	O
e	O
pedidos	O
de	O
emprego	O
em	O
França	B-LOCAL
?	O
Quantos	O
colaboradores	O
tem	O
a	O
ANPE	B-ORGANIZACAO
?	O
Quem	O
é	O
que	O
dirige	O
essa	O
agência	O
desde	B-TEMPO
2005	I-TEMPO
?	O
O	O
que	O
é	O
um	O
afixo	O
?	O
Quem	O
foi	O
assassinado	O
a	B-TEMPO
4	I-TEMPO
de	I-TEMPO
Novembro	I-TEMPO
de	I-TEMPO
1995	I-TEMPO
,	O
aos	O
73	B-VALOR
anos	I-VALOR
?	O
Qual	O
é	O
a	O
primeira	O
região	O
francesa	O
em	O
população	O
?	O
Quantos	O
habitantes	O
tem	O
essa	O
região	O
?	O
O	O
que	O
é	O
o	O
Filival	O
?	O
Em	O
quantas	O
províncias	O
está	O
dividido	O
o	O
Afeganistão	B-LOCAL
?	O
Que	O
língua	O
é	O
falada	O
pela	O
maioria	O
da	O
população	O
afegã	O
?	O
Quantas	O
escolas	O
havia	O
no	O
Afeganistão	B-LOCAL
em	B-TEMPO
2003	I-TEMPO
?	O
O	O
que	O
é	O
o	O
ácido	O
desoxirribonucleico	O
?	O
Que	O
sigla	O
se	O
usa	O
para	O
designar	O
essa	O
molécula	O
?	O
Qual	O
é	O
o	O
antigo	O
nome	O
do	O
Alabama	B-LOCAL
?	O
Quantos	O
condados	O
tem	O
o	O
Alabama	B-LOCAL
?	O
Que	O
estado	O
fica	O
a	O
norte	O
do	O
Alabama	B-LOCAL
?	O
Que	O
organismo	O
gere	O
os	O
subsídios	O
de	O
desemprego	O
em	O
França	B-LOCAL
?	O
Que	O
organização	O
se	O
dedica	O
especificamente	O
à	O
sobrevivência	O
dos	O
patos	O
?	O
Quem	O
é	O
que	O
derrotou	O
Michael	B-PESSOA
Moorer	I-PESSOA
no	O
10º	B-VALOR
round	O
em	O
Las	B-LOCAL
Vegas	I-LOCAL
?	O
O	O
que	O
é	O
uma	O
árvore	O
coral	O
?	O
Que	O
altura	O
pode	O
esta	O
árvore	O
atingir	O
?	O
Quanto	O
é	O
que	O
pesa	O
uma	O
maçã	O
?	O
O	O
que	O
á	O
AFNOR	B-ORGANIZACAO
?	O
Qual	O
é	O
o	O
equivalente	O
da	O
AFNOR	B-ORGANIZACAO
nos	O
Estados	B-LOCAL
Unidos	I-LOCAL
?	O
O	O
que	O
é	O
uma	O
alergia	O
?	O
Que	O
outro	O
nome	O
se	O
dá	O
a	O
uma	O
alergia	O
?	O
Em	B-TEMPO
1980	I-TEMPO
,	O
que	O
percentagem	O
da	O
população	O
tinha	O
sido	O
atingida	O
por	O
elas	O
?	O
Que	O
alergia	O
afecta	O
cerca	B-VALOR
de	I-VALOR
8	I-VALOR
%	I-VALOR
das	O
crianças	O
?	O
Qual	O
é	O
a	O
altura	O
do	O
Monte	B-LOCAL
Claro	I-LOCAL
?	O
Quais	O
eram	O
os	O
primeiros	O
nomes	O
dos	O
dois	O
irmãos	O
Piccard	B-PESSOA
?	O
Qual	O
deles	O
descobriu	O
o	O
urânio	O
235	O
?	O
Que	O
duas	O
profissões	O
teve	O
este	O
último	O
?	O
Que	O
personagem	O
é	O
que	O
César	B-PESSOA
Romero	I-PESSOA
representava	O
na	O
famosa	O
série	O
televisiva	O
``	O
Batman	B-OBRA
``	O
?	O
Onde	O
é	O
que	O
ele	O
morreu	O
?	O
Que	O
idade	O
tinha	O
ele	O
?	O
A	O
que	O
movimento	O
político	O
pertence	O
a	O
Arlette	B-PESSOA
Laguiller	I-PESSOA
?	O
